timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2025-08-19 00:00:00+00:00,2025-08-19 23:59:59.999000+00:00,2025-08-19 01:07:00+00:00,2025-08-19 23:58:00+00:00,4312.53,4355.08,4070.54,4073.46,50440367102.0,491663054626.0,2025-08-19 23:59:59.999000+00:00
2025-08-18 00:00:00+00:00,2025-08-18 23:59:59.999000+00:00,2025-08-18 00:12:00+00:00,2025-08-18 09:35:00+00:00,4473.33,4484.01,4229.38,4312.51,53518423360.0,520556230003.0,2025-08-18 23:59:59.999000+00:00
2025-08-17 00:00:00+00:00,2025-08-17 23:59:59.999000+00:00,2025-08-17 10:56:00+00:00,2025-08-17 01:45:00+00:00,4426.26,4575.88,4400.71,4473.27,31348101438.0,539966210414.0,2025-08-17 23:59:59.999000+00:00
2025-08-16 00:00:00+00:00,2025-08-16 23:59:59.999000+00:00,2025-08-16 01:55:00+00:00,2025-08-16 12:28:00+00:00,4440.0,4493.15,4379.16,4426.18,26816931514.0,534284596046.0,2025-08-16 23:59:59.999000+00:00
2025-08-15 00:00:00+00:00,2025-08-15 23:59:59.999000+00:00,2025-08-15 08:33:00+00:00,2025-08-15 20:02:00+00:00,4549.08,4667.73,4375.55,4439.99,55445715824.0,535943432537.0,2025-08-15 23:59:59.999000+00:00
2025-08-14 00:00:00+00:00,2025-08-14 23:59:59.999000+00:00,2025-08-14 06:40:00+00:00,2025-08-14 21:47:00+00:00,4756.04,4788.55,4461.28,4548.17,75681632806.0,549111223433.0,2025-08-14 23:59:59.999000+00:00
2025-08-13 00:00:00+00:00,2025-08-13 23:59:59.999000+00:00,2025-08-13 23:42:00+00:00,2025-08-13 01:40:00+00:00,4590.66,4784.67,4566.24,4756.28,62550014642.0,574095286517.0,2025-08-13 23:59:59.999000+00:00
2025-08-12 00:00:00+00:00,2025-08-12 23:59:59.999000+00:00,2025-08-12 20:55:00+00:00,2025-08-12 00:01:00+00:00,4227.21,4634.06,4222.36,4590.93,57237189036.0,554132792674.0,2025-08-12 23:59:59.999000+00:00
2025-08-11 00:00:00+00:00,2025-08-11 23:59:59.999000+00:00,2025-08-11 16:05:00+00:00,2025-08-11 12:33:00+00:00,4254.23,4362.09,4168.87,4226.97,49989853802.0,510261671402.0,2025-08-11 23:59:59.999000+00:00
2025-08-10 00:00:00+00:00,2025-08-10 23:59:59.999000+00:00,2025-08-10 00:56:00+00:00,2025-08-10 08:06:00+00:00,4263.55,4332.21,4163.94,4254.22,36173931367.0,513524020941.0,2025-08-10 23:59:59.999000+00:00
2025-08-09 00:00:00+00:00,2025-08-09 23:59:59.999000+00:00,2025-08-09 22:25:00+00:00,2025-08-09 00:11:00+00:00,4009.15,4323.76,4007.71,4263.6,45279715746.0,514649595997.0,2025-08-09 23:59:59.999000+00:00
2025-08-08 00:00:00+00:00,2025-08-08 23:59:59.999000+00:00,2025-08-08 20:01:00+00:00,2025-08-08 02:06:00+00:00,3914.11,4068.85,3882.44,4009.85,45460293892.0,483941480944.0,2025-08-08 23:59:59.999000+00:00
2025-08-07 00:00:00+00:00,2025-08-07 23:59:59.999000+00:00,2025-08-07 22:57:00+00:00,2025-08-07 03:24:00+00:00,3684.06,3926.2,3650.37,3914.33,38627826066.0,472469627316.0,2025-08-07 23:59:59.999000+00:00
2025-08-06 00:00:00+00:00,2025-08-06 23:59:59.999000+00:00,2025-08-06 18:17:00+00:00,2025-08-06 01:38:00+00:00,3612.04,3698.12,3567.1,3683.92,26924415762.0,444700876656.0,2025-08-06 23:59:59.999000+00:00
2025-08-05 00:00:00+00:00,2025-08-05 23:59:59.999000+00:00,2025-08-05 00:00:00+00:00,2025-08-05 22:06:00+00:00,3719.82,3720.66,3547.62,3611.9,32778742296.0,436007565864.0,2025-08-05 23:59:59.999000+00:00
2025-08-04 00:00:00+00:00,2025-08-04 23:59:59.999000+00:00,2025-08-04 22:53:00+00:00,2025-08-04 00:10:00+00:00,3497.61,3734.98,3491.55,3718.99,30905749658.0,449017764697.0,2025-08-04 23:59:59.999000+00:00
2025-08-03 00:00:00+00:00,2025-08-03 23:59:59.999000+00:00,2025-08-03 23:21:00+00:00,2025-08-03 00:39:00+00:00,3392.74,3520.83,3357.94,3497.38,19363593865.0,422195638000.0,2025-08-03 23:59:59.999000+00:00
2025-08-02 00:00:00+00:00,2025-08-02 23:59:59.999000+00:00,2025-08-02 05:04:00+00:00,2025-08-02 23:23:00+00:00,3487.96,3535.56,3370.94,3392.74,30165065282.0,409537162852.0,2025-08-02 23:59:59.999000+00:00
2025-08-01 00:00:00+00:00,2025-08-01 23:59:59.999000+00:00,2025-08-01 03:28:00+00:00,2025-08-01 22:44:00+00:00,3696.14,3722.59,3432.38,3488.37,46261558200.0,421030588128.0,2025-08-01 23:59:59.999000+00:00
