timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2025-08-24 00:00:00+00:00,2025-08-24 23:59:59.999000+00:00,2025-08-24 02:10:00+00:00,2025-08-24 19:38:00+00:00,115387.39,115615.08,111060.54,113458.43,73961489632.0,2259049760359.0,2025-08-24 23:59:59.999000+00:00
2025-08-23 00:00:00+00:00,2025-08-23 23:59:59.999000+00:00,2025-08-23 00:35:00+00:00,2025-08-23 15:12:00+00:00,116866.37,116996.25,114536.11,115374.33,55377142586.0,2297430001315.0,2025-08-23 23:59:59.999000+00:00
2025-08-22 00:00:00+00:00,2025-08-22 23:59:59.999000+00:00,2025-08-22 18:15:00+00:00,2025-08-22 12:36:00+00:00,112433.73,117377.4,111678.95,116874.09,82528088240.0,2326822823274.0,2025-08-22 23:59:59.999000+00:00
2025-08-21 00:00:00+00:00,2025-08-21 23:59:59.999000+00:00,2025-08-21 02:02:00+00:00,2025-08-21 19:39:00+00:00,114275.68,114802.65,111986.23,112419.03,57817883700.0,2238516228088.0,2025-08-21 23:59:59.999000+00:00
2025-08-20 00:00:00+00:00,2025-08-20 23:59:59.999000+00:00,2025-08-20 22:57:00+00:00,2025-08-20 14:18:00+00:00,112828.02,114625.8,112387.96,114274.74,67993811526.0,2275137450833.0,2025-08-20 23:59:59.999000+00:00
2025-08-19 00:00:00+00:00,2025-08-19 23:59:59.999000+00:00,2025-08-19 01:05:00+00:00,2025-08-19 23:55:00+00:00,116241.86,116764.5,112730.4,112831.18,71657600353.0,2246264081038.0,2025-08-19 23:59:59.999000+00:00
2025-08-18 00:00:00+00:00,2025-08-18 23:59:59.999000+00:00,2025-08-18 00:11:00+00:00,2025-08-18 09:35:00+00:00,117453.91,117614.17,114723.68,116252.31,72787808090.0,2314179147653.0,2025-08-18 23:59:59.999000+00:00
2025-08-17 00:00:00+00:00,2025-08-17 23:59:59.999000+00:00,2025-08-17 13:53:00+00:00,2025-08-17 01:08:00+00:00,117492.79,118595.78,117279.52,117453.06,45852169525.0,2338253928062.0,2025-08-17 23:59:59.999000+00:00
2025-08-16 00:00:00+00:00,2025-08-16 23:59:59.999000+00:00,2025-08-16 01:55:00+00:00,2025-08-16 10:23:00+00:00,117398.42,117996.06,117271.95,117491.35,48036922378.0,2338971474695.0,2025-08-16 23:59:59.999000+00:00
2025-08-15 00:00:00+00:00,2025-08-15 23:59:59.999000+00:00,2025-08-15 06:49:00+00:00,2025-08-15 16:17:00+00:00,118365.78,119332.31,116864.57,117398.35,68665353159.0,2337039020728.0,2025-08-15 23:59:59.999000+00:00
2025-08-14 00:00:00+00:00,2025-08-14 23:59:59.999000+00:00,2025-08-14 00:33:00+00:00,2025-08-14 18:23:00+00:00,123339.4,124457.12,117254.88,118359.58,104055627395.0,2356244699278.0,2025-08-14 23:59:59.999000+00:00
2025-08-13 00:00:00+00:00,2025-08-13 23:59:59.999000+00:00,2025-08-13 23:42:00+00:00,2025-08-13 06:05:00+00:00,120168.98,123682.45,118939.63,123344.06,90904808795.0,2455190057730.0,2025-08-13 23:59:59.999000+00:00
